
AquaCalc 5000 (tm)  by JBS Instruments 
Firmware Version AQCUSH8c (c)1995-2000

        GAGE ID#  ,6690500
            DATE  ,07/16/2018
        TRANSECT  ,06
        USER ID#  ,7978
        SH BEGIN  ,3.53
          SH END  ,3.50
        GH BEGIN  ,3.53
          GH END  ,3.50
  EST. DISCHARGE  ,550.00
  EST. Q (ADJ)    ,574.00
       METER ID#  ,813-02
    AQUACALC ID#  ,2039
    SOUNDING WT.  ,30
  START MEAS. AT  ,LEW
      METER TYPE  ,Price AA 1:1 ST2
 METER CONST. C1  ,2.2048
 METER CONST. C2  ,0.0178
 METER CONST. C3  ,2.2048
 METER CONST. C4  ,0.0178
 METER CONST. C5  ,0.0
MEASUREMENT TIME  ,40
    MEAS. SYSTEM  ,SAE,
   PERCENT SLOPE  ,0.00
 TOTAL VERTICALS  ,30
  TOTAL STATIONS  ,52
     TOTAL WIDTH  ,79.00
      TOTAL AREA  ,268.00
 TOTAL DISCHARGE  ,574.000 
  PCT DIFFERENCE  ,4.3
   MEAN VELOCITY  ,2.14
WETTED PERIMETER  ,92.15
HYDRAULIC RADIUS  ,2.91
  MANNING FACTOR  ,0.00

OB ,DIST    ,DEPTH,ICE,REVS,TIME,COS:VF,LOC,COEF ,CLOCK  ,VEL   ,AREA   ,FLOW(Q),FLAGS  
 1,    43.00,   0.00,  0.00,    0,  0.0,  1.00,   6,  1.00,   9:50,   0.000,    0.000,     0.000,         ,
 2,    45.00,   2.30,  0.00,    7, 47.7,  1.00,   6,  1.00,   9:50,   0.341,    5.750,     1.961,         ,
 3,    48.00,   3.10,  0.00,   12, 45.6,  1.00,   8,  1.00,   9:52,   0.598,   10.900,     7.608,         ,
 4,    48.00,   3.10,  0.00,   15, 42.4,  1.00,   2,  1.00,   9:53,   0.798,    0.000,     0.000,         ,
 5,    52.00,   3.80,  0.00,   29, 40.6,  1.00,   8,  1.00,   9:56,   1.592,   15.200,    23.900,     5   ,
 6,    52.00,   3.80,  0.00,   28, 40.2,  1.00,   2,  1.00,   9:56,   1.553,    0.000,     0.000,     5   ,
 7,    56.00,   4.10,  0.00,   32, 40.9,  1.00,   8,  1.00,   9:58,   1.743,   12.300,    24.290,         ,
 8,    56.00,   4.10,  0.00,   40, 40.3,  1.00,   2,  1.00,   9:59,   2.206,    0.000,     0.000,         ,
 9,    58.00,   4.10,  0.00,   36, 41.1,  1.00,   8,  1.00,  10:02,   1.949,    8.200,    18.970,         ,
10,    58.00,   4.10,  0.00,   49, 40.6,  1.00,   2,  1.00,  10:02,   2.679,    0.000,     0.000,         ,
11,    60.00,   4.40,  0.00,   39, 40.1,  1.00,   8,  1.00,  10:04,   2.162,    8.800,    22.170,         ,
12,    60.00,   4.40,  0.00,   52, 40.1,  1.00,   2,  1.00,  10:05,   2.877,    0.000,     0.000,         ,
13,    62.00,   4.80,  0.00,   41, 40.2,  1.00,   8,  1.00,  10:06,   2.266,    9.600,    25.480,         ,
14,    62.00,   4.80,  0.00,   55, 40.1,  1.00,   2,  1.00,  10:07,   3.042,    0.000,     0.000,         ,
15,    64.00,   4.90,  0.00,   46, 40.8,  1.00,   8,  1.00,  10:09,   2.503,    9.800,    27.130,         ,
16,    64.00,   4.90,  0.00,   55, 40.2,  1.00,   2,  1.00,  10:10,   3.034,    0.000,     0.000,         ,
17,    66.00,   5.20,  0.00,   41, 40.4,  1.00,   8,  1.00,  10:11,   2.255,   10.400,    27.710,         ,
18,    66.00,   5.20,  0.00,   56, 40.4,  1.00,   2,  1.00,  10:12,   3.074,    0.000,     0.000,         ,
19,    68.00,   5.30,  0.00,    0,  0.0,  0.85,   W,  1.00,  10:13,   0.000,    5.300,    12.000,         ,
20,    72.00,   6.00,  0.00,    0,  0.0,  0.85,   W,  1.00,  10:15,   0.000,    6.000,    13.340,         ,
21,    74.00,   5.90,  0.00,   39, 40.0,  1.00,   8,  1.00,  10:17,   2.167,   10.300,    26.950,         ,
22,    74.00,   5.90,  0.00,   56, 40.5,  1.00,   2,  1.00,  10:17,   3.066,    0.000,     0.000,         ,
23,    75.50,   5.90,  0.00,   40, 40.7,  1.00,   8,  1.00,  10:19,   2.185,   11.800,    31.160, 1       ,
24,    75.50,   5.90,  0.00,   56, 40.1,  1.00,   2,  1.00,  10:20,   3.097,    0.000,     0.000,         ,
25,    78.00,   5.90,  0.00,   39, 40.8,  1.00,   8,  1.00,  10:23,   2.125,   13.300,    34.520, 1       ,
26,    78.00,   5.90,  0.00,   56, 40.5,  1.00,   2,  1.00,  10:24,   3.066,    0.000,     0.000,         ,
27,    80.00,   5.60,  0.00,   31, 40.3,  1.00,   8,  1.00,  10:26,   1.714,   11.200,    26.670,         ,
28,    80.00,   5.60,  0.00,   55, 40.0,  1.00,   2,  1.00,  10:27,   3.049,    0.000,     0.000,         ,
29,    82.00,   5.10,  0.00,   44, 40.7,  1.00,   8,  1.00,  10:28,   2.401,   10.200,    26.700,         ,
30,    82.00,   5.10,  0.00,   52, 40.7,  1.00,   2,  1.00,  10:29,   2.835,    0.000,     0.000,         ,
31,    84.00,   4.70,  0.00,   46, 40.1,  1.00,   8,  1.00,  10:31,   2.547,    9.400,    25.270,         ,
32,    84.00,   4.70,  0.00,   51, 40.0,  1.00,   2,  1.00,  10:32,   2.829,    0.000,     0.000,        8,
33,    86.00,   4.10,  0.00,   38, 40.3,  1.00,   8,  1.00,  10:34,   2.097,    8.200,    19.580,         ,
34,    86.00,   4.10,  0.00,   49, 40.6,  1.00,   2,  1.00,  10:34,   2.679,    0.000,     0.000,         ,
35,    88.00,   4.30,  0.00,   32, 40.1,  1.00,   8,  1.00,  10:37,   1.777,    8.600,    19.100,         ,
36,    88.00,   4.30,  0.00,   48, 40.0,  1.00,   2,  1.00,  10:37,   2.664,    0.000,     0.000,         ,
37,    90.00,   4.40,  0.00,   39, 40.7,  1.00,   8,  1.00,  10:39,   2.130,    8.800,    20.970,         ,
38,    90.00,   4.40,  0.00,   48, 40.4,  1.00,   2,  1.00,  10:40,   2.637,    0.000,     0.000,         ,
39,    92.00,   4.10,  0.00,   39, 40.4,  1.00,   8,  1.00,  10:41,   2.146,   10.300,    24.100,         ,
40,    92.00,   4.10,  0.00,   46, 40.3,  1.00,   2,  1.00,  10:42,   2.534,    0.000,     0.000,         ,
41,    95.00,   3.80,  0.00,   37, 40.7,  1.00,   8,  1.00,  10:44,   2.022,   11.400,    26.040,         ,
42,    95.00,   3.80,  0.00,   46, 40.1,  1.00,   2,  1.00,  10:44,   2.547,    0.000,     0.000,         ,
43,    98.00,   3.10,  0.00,   39, 40.3,  1.00,   8,  1.00,  10:48,   2.151,   10.900,    25.500,         ,
44,    98.00,   3.10,  0.00,   46, 40.4,  1.00,   2,  1.00,  10:49,   2.528,    0.000,     0.000,         ,
45,   102.00,   3.30,  0.00,   27, 41.5,  1.00,   8,  1.00,  10:51,   1.452,   13.200,    24.360,         ,
46,   102.00,   3.30,  0.00,   41, 40.7,  1.00,   2,  1.00,  10:52,   2.239,    0.000,     0.000,         ,
47,   106.00,   2.90,  0.00,   36, 41.0,  1.00,   8,  1.00,  10:53,   1.954,   14.500,    28.300,     5  8,
48,   106.00,   2.90,  0.00,   36, 41.1,  1.00,   2,  1.00,  10:54,   1.949,    0.000,     0.000,     5   ,
49,   112.00,   1.70,  0.00,   19, 40.0,  1.00,   6,  1.00,  10:56,   1.065,    8.500,     9.053,         ,
50,   116.00,   0.80,  0.00,    5, 47.7,  1.00,   6,  1.00,  10:59,   0.249,    5.600,     1.394,   34    ,
51,   126.00,   0.00,  0.00,    9, 41.9,  1.00,   6,  1.00,  11:01,   0.491,    0.000,     0.000,         ,
52,   131.00,   0.00,  0.00,    0,  0.0,  1.00,   6,  1.00,   0:00,   0.000,    0.000,     0.000,         ,


1. USER EXCEEDED SINGLE SUBSECTION 05% EST. Q.
2. THE PRODUCT OF VELOCITY AND DEPTH EXCEEDED THE
   SELECTED SOUNDING WEIGHT.
3. INCORRECT METER USED FOR DEPTH OF STREAM.
4. INCORRECT METER USED FOR VELOCITY OF STREAM.
5. ABNORMAL VELOCITY PROFILE CALCULATED.
6. DEPTH ESTIMATED BY USER.
7. VELOCITY ESTIMATED BY USER.
8. TURBULENT VELOCITY MEASURED
